#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-03-24T00:15:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56f32fff0810	
#INFO	-out.max=9999	
#INFO	queryParameters=49	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43&HTTPPRM:&&-ref=VIZ56f32fff0810&-file=.&-oc.form=sexa&-out.form=verb&-c.r=  2&-c.geom=r&-order=I&-out=Seq&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=plx&-out=rc&-out=RV&-out=Vpar&-out=Vperp&-out=M&-out=gmed&-out=rmed&-out=imed&-out=zmed&-out=ymed&-out=Jmag&-out=Kmag&-out=W1mag&-out=W2mag&-out=Src&-out=XV&-ignore=XV=*&XV=XV&-out=Sloan&Sloan=Sloan&-meta.ucd=2&-meta=1&-meta.foot=1&-meta.form=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/559/A43/table6
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=plx
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#-out=M
#-out=gmed
#-out=rmed
#-out=gmag
#-out=e_gmag
#-out=rmag
#-out=e_rmag
#-out=imag
#-out=e_imag
#-out=zmag
#-out=e_zmag
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=W1mag
#-out=e_W1mag
#-out=W2mag
#-out=e_W2mag
#-out=W3mag
#-out=e_W3mag
#-out=W4mag
#-out=e_W4mag
#-out=Src
#-out=XV
#XV=XV
#-out=Sloan
#Sloan=Sloan
#
#
#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#Column	Seq	(I8)	Identifier (Seq<=724 ix from Roeser et al. 2011, J/A+A/531/A92)	[ucd=meta.id]
#Column	RAJ2000	(F11.7)	PPMXL Right Ascension (J2000.0, epoch 2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	PPMXL Declination (J2000.0, epoch 2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F6.2)	PPMXL Proper Motion in RA*cos(DEdeg)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	PPMXL Proper Motion in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax]
#Column	rc	(F5.2)	[0/30] Distance from the cluster centre	[ucd=phys.size.radius]
#Column	RV	(F5.2)	[16/46] Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	[5/43] Tangential velocity in direction of the convergent point	[ucd=phys.veloc.transverse]
#Column	Vperp	(F5.2)	[-5/4] Tangential velocity in direction perpendicular to the convergent point	[ucd=phys.veloc.transverse]
#Column	M	(F5.2)	[0.09/2.6] Mass of the star	[ucd=phys.mass]
#Column	gmed	(F6.3)	? PS1 PSF median magnitude in g band	[ucd=phot.mag;em.opt.B]
#Column	rmed	(F6.3)	? PS1 PSF median magnitude in r band	[ucd=phot.mag;em.opt.R]
#Column	gmag	(F6.3)	? SDSS g-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.B]
#Column	e_gmag	(F6.3)	? Error of gmag	[ucd=stat.error;phot.mag;em.opt.B]
#Column	rmag	(F6.3)	? SDSS r-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.R]
#Column	e_rmag	(F6.3)	? Error of rmag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	imag	(F6.3)	? SDSS i-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.I]
#Column	e_imag	(F6.3)	? Error of imag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	zmag	(F6.3)	? SDSS z-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.I]
#Column	e_zmag	(F6.3)	? Error of zmag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	Jmag	(F6.3)	2MASS J band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	Error of Jmag	[ucd=stat.error;phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS H band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	Error of Hmag	[ucd=stat.error;phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	2MASS Ks band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F6.3)	Error of Kmag	[ucd=stat.error;phot.mag;em.IR.K]
#Column	W1mag	(F6.3)	? WISE W1-band magnitude (3.3um)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_W1mag	(F6.3)	? Error of W1mag	[ucd=stat.error;phot.mag]
#Column	W2mag	(F6.3)	? WISE W2-band magnitude (4.6um)	[ucd=phot.mag;em.IR.4-8um]
#Column	e_W2mag	(F6.3)	? Error of W2mag	[ucd=stat.error;phot.mag]
#Column	W3mag	(F6.3)	? WISE W3-band magnitude (11.6um)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	e_W3mag	(F6.3)	? Error of W3mag	[ucd=stat.error;phot.mag]
#Column	W4mag	(F6.3)	? WISE W4-band magnitude (22.1um)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_W4mag	(F6.3)	? Error of W4mag	[ucd=stat.error;phot.mag]
#Column	Src	(A1)	[0,1] Origin of source: 1=from this paper, 0=from Roeser et al. 2011 (J/A+A/531/A92)	[ucd=meta.ref;pos.frame]
#Column	XV	(A2)	Retrieve data on this star across all VizieR (within 5arcsec)	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS data for this source	[ucd=meta.ref.url]
#Seq	RAJ2000	DEJ2000	pmRA	pmDE	plx	rc	RV	Vpar	Vperp	M	gmed	rmed	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	W1mag	e_W1mag	W2mag	e_W2mag	W3mag	e_W3mag	W4mag	e_W4mag	Src	XV	Sloan
# 	deg	deg	mas/yr	mas/yr	mas	pc	km/s	km/s	km/s	Msun	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	 	 	
#--------	-----------	-----------	------	-------	-----	-----	-----	-----	-----	-----	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	-	--	-----
#Seq	RAJ2000	DEJ2000	pmRA	pmDE	plx	rc	RV	Vpar	Vperp	M	gmed	rmed	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	W1mag	e_W1mag	W2mag	e_W2mag	W3mag	e_W3mag	W4mag	e_W4mag	Src	XV	Sloan
       1	028.3364200	+23.4447625	210.59	  -9.17	23.65	28.32	16.57	42.26	-0.33	 0.59	13.545	16.434	      	      	      	      	      	      	      	      	 9.300	 0.020	 8.674	 0.033	 8.405	 0.023	 8.291	 0.024	 8.293	 0.021	 8.215	 0.019	 8.309	 0.215	0	XV	Sloan
       2	029.1728906	+30.4763461	211.99	 -13.18	23.87	28.42	16.79	42.17	 1.23	 0.18	17.431	16.156	      	      	      	      	      	      	      	      	11.917	 0.023	11.305	 0.032	11.029	 0.021	10.840	 0.023	10.655	 0.022	10.480	 0.076	 9.002	      	0	XV	Sloan
       3	030.5979594	+37.4963192	246.54	 -37.75	28.10	28.67	17.02	42.08	 0.13	 0.38	14.746	13.543	      	      	      	      	      	      	      	      	10.081	 0.028	 9.477	 0.034	 9.257	 0.020	 9.108	 0.023	 8.979	 0.019	 8.848	 0.022	 9.427	 0.469	0	XV	Sloan
       4	030.8695289	+21.5713561	348.33	  -6.60	39.77	29.31	18.33	41.52	 0.86	 0.13	17.938	16.571	18.030	 0.007	16.680	 0.004	14.574	 0.004	13.579	 0.004	11.661	 0.023	11.033	 0.024	10.714	 0.018	10.488	 0.023	10.285	 0.020	10.121	 0.045	 8.881	      	0	XV	Sloan
       5	032.8068994	+20.9728531	258.38	 -13.08	29.97	25.64	19.65	40.92	-0.11	 0.18	16.899	15.582	16.920	 0.004	15.638	 0.003	13.888	 0.003	13.091	 0.003	11.405	 0.021	10.839	 0.022	10.528	 0.018	10.310	 0.023	10.138	 0.019	10.063	 0.059	 8.723	      	0	XV	Sloan
       6	032.8464525	+21.3773478	275.08	 -11.75	31.90	26.15	19.66	40.91	 0.36	 1.09	      	      	      	      	      	      	      	      	      	      	 6.117	 0.023	 5.851	 0.018	 5.786	 0.020	 5.720	 0.054	 5.651	 0.027	 5.785	 0.015	 5.696	 0.042	0	XV	Sloan
       7	033.1205603	+28.9957775	187.15	 -21.91	21.76	26.59	19.38	41.04	 0.01	 0.15	17.725	16.373	17.690	 0.006	16.437	 0.004	14.825	 0.003	14.067	 0.004	12.443	 0.023	11.879	 0.022	11.613	 0.021	11.393	 0.023	11.204	 0.020	10.977	 0.105	 8.935	      	0	XV	Sloan
       8	033.4669031	-03.5165336	250.98	  31.44	29.13	29.14	19.16	41.15	-1.29	 0.17	17.572	16.243	17.548	 0.006	16.303	 0.005	14.401	 0.004	13.513	 0.004	11.693	 0.024	11.099	 0.022	10.801	 0.023	10.593	 0.023	10.403	 0.021	10.219	 0.050	 8.835	      	0	XV	Sloan
       9	033.7357839	+03.7860836	191.74	  14.07	22.36	27.57	20.01	40.74	-0.92	 0.43	14.976	13.779	      	      	      	      	      	      	      	      	10.281	 0.027	 9.729	 0.026	 9.465	 0.023	 9.274	 0.024	 9.101	 0.020	 8.990	 0.024	 8.762	 0.301	0	XV	Sloan
      10	034.1975636	+01.2125975	199.24	  12.62	23.23	27.73	20.14	40.68	-2.22	 0.50	14.253	13.089	      	      	      	      	      	      	      	      	 9.786	 0.027	 9.210	 0.023	 8.948	 0.021	 8.814	 0.024	 8.655	 0.021	 8.572	 0.021	 8.362	 0.218	0	XV	Sloan
      11	034.7276381	+35.2182311	198.72	 -36.09	23.41	26.44	19.67	40.90	 0.21	 0.64	12.435	      	      	      	      	      	      	      	      	      	 8.992	 0.024	 8.309	 0.044	 8.145	 0.026	 8.044	 0.023	 8.074	 0.020	 8.011	 0.019	 7.848	 0.156	0	XV	Sloan
      13	036.4101675	+37.5427578	282.75	 -70.13	34.00	27.47	20.28	40.61	-0.78	 0.38	14.590	13.535	      	      	      	      	      	      	      	      	 9.712	 0.022	 9.103	 0.023	 8.842	 0.016	 8.687	 0.022	 8.554	 0.020	 8.382	 0.023	 8.483	 0.322	0	XV	Sloan
      14	036.4481072	+24.5899417	209.66	 -23.42	25.12	22.94	21.81	39.80	-0.17	 0.22	16.795	15.497	      	      	      	      	      	      	      	      	11.384	 0.020	10.798	 0.022	10.545	 0.019	10.338	 0.022	10.158	 0.020	10.020	 0.043	 9.306	 0.483	0	XV	Sloan
      15	036.5412939	+12.4538656	171.35	  12.82	20.56	24.57	22.28	39.54	 2.54	 0.28	16.277	15.040	      	      	      	      	      	      	      	      	11.392	 0.021	10.774	 0.022	10.527	 0.018	10.343	 0.023	10.156	 0.021	10.151	 0.075	 8.550	      	0	XV	Sloan
      16	036.6401900	+15.3734675	164.54	   4.72	19.73	24.88	22.34	39.51	 1.88	 0.88	      	      	      	      	      	      	      	      	      	      	 8.071	 0.065	 7.687	 0.034	 7.558	 0.017	 7.508	 0.026	 7.532	 0.021	 7.508	 0.018	 7.310	 0.115	0	XV	Sloan
      17	036.9107044	+17.6724147	166.54	  -9.91	20.05	24.20	22.47	39.44	-0.65	 0.48	15.008	13.803	      	      	      	      	      	      	      	      	10.321	 0.026	 9.747	 0.024	 9.413	 0.018	 9.264	 0.023	 9.122	 0.021	 9.055	 0.050	 8.451	      	0	XV	Sloan
      18	038.7634508	+41.0782800	176.56	 -55.82	21.78	27.34	20.90	40.29	-0.88	 0.26	16.605	15.330	      	      	      	      	      	      	      	      	11.373	 0.020	10.797	 0.020	10.522	 0.016	10.362	 0.024	10.207	 0.021	10.168	 0.058	 9.100	      	0	XV	Sloan
      19	039.7381131	+35.2011558	191.61	 -51.64	23.85	23.67	22.48	39.43	-0.80	 0.21	16.523	15.300	      	      	      	      	      	      	      	      	11.621	 0.020	11.023	 0.024	10.728	 0.020	10.582	 0.024	10.472	 0.021	10.403	 0.069	 9.163	      	0	XV	Sloan
      20	040.2896211	+39.6032200	164.28	 -48.55	20.45	26.89	21.97	39.72	 0.17	 0.23	16.862	      	      	      	      	      	      	      	      	      	11.752	 0.018	11.165	 0.017	10.914	 0.018	10.652	 0.025	10.481	 0.021	10.274	 0.057	 9.119	      	0	XV	Sloan
      21	040.3513506	+17.4790547	156.04	  -9.21	19.46	22.17	24.69	38.09	 0.07	 0.59	13.717	12.717	      	      	      	      	      	      	      	      	 9.665	 0.018	 9.043	 0.019	 8.843	 0.020	 8.639	 0.024	 8.563	 0.021	 8.440	 0.023	 8.121	 0.269	0	XV	Sloan
      22	042.0852600	+23.8719625	184.91	 -26.04	23.50	19.21	25.32	37.67	 0.26	 0.32	16.198	14.912	      	      	      	      	      	      	      	      	10.847	 0.021	10.260	 0.022	 9.965	 0.018	 9.801	 0.024	 9.620	 0.021	 9.476	 0.037	 8.746	      	0	XV	Sloan
      23	042.2132039	+30.6436742	124.09	 -38.08	16.08	29.36	24.57	38.17	-2.80	 0.38	16.132	14.862	      	      	      	      	      	      	      	      	11.320	 0.021	10.722	 0.024	10.470	 0.018	10.305	 0.024	10.130	 0.019	10.013	 0.053	 8.804	      	0	XV	Sloan
      24	043.1573442	-09.2323281	188.17	  67.45	24.86	26.77	24.91	37.95	 3.65	 0.72	      	      	      	      	      	      	      	      	      	      	 8.433	 0.029	 7.951	 0.000	 7.629	 0.000	 7.514	 0.034	 7.544	 0.027	 7.533	 0.023	 7.467	 0.149	0	XV	Sloan
      25	043.5588067	+42.5887850	201.96	 -82.13	26.37	25.09	22.91	39.18	-0.83	 1.26	      	      	      	      	      	      	      	      	      	      	 5.882	 0.027	 5.682	 0.040	 5.572	 0.026	 5.568	 0.068	 5.436	 0.029	 5.608	 0.014	 5.508	 0.034	0	XV	Sloan
      26	044.1718950	+35.3762711	196.63	 -62.94	25.75	21.63	24.81	38.01	-0.38	 0.46	14.170	      	      	      	      	      	      	      	      	      	 9.817	 0.022	 9.205	 0.022	 8.955	 0.018	 8.815	 0.023	 8.720	 0.019	 8.617	 0.024	 8.169	 0.209	0	XV	Sloan
      27	044.4444692	+29.6614594	187.28	 -46.88	24.58	19.23	25.95	37.24	-0.26	 0.92	13.040	      	      	      	      	      	      	      	      	      	 7.383	 0.026	 6.997	 0.021	 6.905	 0.023	 6.864	 0.039	 6.905	 0.022	 6.892	 0.016	 6.897	 0.074	0	XV	Sloan
