#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-03-27T05:34:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ56f756f90325 
#INFO -out.max=1000 
#INFO queryParameters=30 
#-oc.form=dec
#-out.max=1000
#-order=I
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43&HTTPPRM:&&-ref=VIZ56f756f90325&-out.max=1000&-out.form=ascii table&-order=I&-oc.form=dec&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=J/A+A/559/A43/table6&-out=Seq&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=plx&-out=rc&-out=RV&-out=Vpar&-out=Vperp&-out=M&-out=Jmag&-out=Hmag&-out=Kmag&-out=W1mag&-out=W2mag&-out=Src&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-order=I
#-order=I
#-out.src=J/A+A/559/A43/table6
#-source=J/A+A/559/A43/table6
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=plx
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#-out=M
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=W1mag
#-out=W2mag
#-out=Src
#
#
#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#---Details of Columns:
#    Seq           (I8)    Identifier (Seq<=724 ix from Roeser et al. 2011, J/A+A/531/A92) [ucd=meta.id]
#    RAJ2000 (deg) (F11.7) PPMXL Right Ascension (J2000.0, epoch 2000.0) [ucd=pos.eq.ra;meta.main]
#    DEJ2000 (deg) (F11.7) PPMXL Declination (J2000.0, epoch 2000.0) [ucd=pos.eq.dec;meta.main]
#    pmRA (mas/yr) (F6.2)  PPMXL Proper Motion in RA*cos(DEdeg) [ucd=pos.pm;pos.eq.ra]
#    pmDE (mas/yr) (F7.2)  PPMXL Proper Motion in Dec [ucd=pos.pm;pos.eq.dec]
#    plx (mas)     (F5.2)  Secular parallax [ucd=pos.parallax]
#    rc (pc)       (F5.2)  [0/30] Distance from the cluster centre [ucd=phys.size.radius]
#    RV (km/s)     (F5.2)  [16/46] Predicted radial velocity [ucd=phys.veloc;pos.heliocentric]
#    Vpar (km/s)   (F5.2)  [5/43] Tangential velocity in direction of the convergent point [ucd=phys.veloc.transverse]
#    Vperp (km/s)  (F5.2)  [-5/4] Tangential velocity in direction perpendicular to the convergent point [ucd=phys.veloc.transverse]
#    M (Msun)      (F5.2)  [0.09/2.6] Mass of the star [ucd=phys.mass]
#    Jmag (mag)    (F6.3)  2MASS J band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.J]
#    Hmag (mag)    (F6.3)  2MASS H band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.H]
#    Kmag (mag)    (F6.3)  2MASS Ks band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.K]
#    W1mag (mag)   (F6.3)  ? WISE W1-band magnitude (3.3um) [ucd=phot.mag;em.IR.3-4um]
#    W2mag (mag)   (F6.3)  ? WISE W2-band magnitude (4.6um) [ucd=phot.mag;em.IR.4-8um]
#    Src           (A1)    [0,1] Origin of source: 1=from this paper, 0=from Roeser et al. 2011 (J/A+A/531/A92) [ucd=meta.ref;pos.frame]
#-------- ----------- ----------- ------ ------- ----- ----- ----- ----- ----- ----- ------ ------ ------ ------ ------ -
#                                 p                                V     Vp                                             S
#         RA          DE          mRA (m pmDE (  plx   rc    RV (  par ( erp ( M (   Jmag   Hmag   Kmag   W1mag  W2mag  r
#Seq      J2000 (deg) J2000 (deg) as/yr) mas/yr) (mas) (pc)  km/s) km/s) km/s) Msun) (mag)  (mag)  (mag)  (mag)  (mag)  c
#-------- ----------- ----------- ------ ------- ----- ----- ----- ----- ----- ----- ------ ------ ------ ------ ------ -
#    Seq RAJ2000    DEJ2000     pmRA      pmDE plx    rc    RV   Vpar  Vperp Mass  Jmag    Hmag   Kmag  W1mag   W2mag  src
       1 028.3364200 +23.4447625 210.59   -9.17 23.65 28.32 16.57 42.26 -0.33  0.59  9.300  8.674  8.405  8.291  8.293 0
       2 029.1728906 +30.4763461 211.99  -13.18 23.87 28.42 16.79 42.17  1.23  0.18 11.917 11.305 11.029 10.840 10.655 0
       3 030.5979594 +37.4963192 246.54  -37.75 28.10 28.67 17.02 42.08  0.13  0.38 10.081  9.477  9.257  9.108  8.979 0
       4 030.8695289 +21.5713561 348.33   -6.60 39.77 29.31 18.33 41.52  0.86  0.13 11.661 11.033 10.714 10.488 10.285 0
       5 032.8068994 +20.9728531 258.38  -13.08 29.97 25.64 19.65 40.92 -0.11  0.18 11.405 10.839 10.528 10.310 10.138 0
       6 032.8464525 +21.3773478 275.08  -11.75 31.90 26.15 19.66 40.91  0.36  1.09  6.117  5.851  5.786  5.720  5.651 0
       7 033.1205603 +28.9957775 187.15  -21.91 21.76 26.59 19.38 41.04  0.01  0.15 12.443 11.879 11.613 11.393 11.204 0
       8 033.4669031 -03.5165336 250.98   31.44 29.13 29.14 19.16 41.15 -1.29  0.17 11.693 11.099 10.801 10.593 10.403 0
       9 033.7357839 +03.7860836 191.74   14.07 22.36 27.57 20.01 40.74 -0.92  0.43 10.281  9.729  9.465  9.274  9.101 0
      10 034.1975636 +01.2125975 199.24   12.62 23.23 27.73 20.14 40.68 -2.22  0.50  9.786  9.210  8.948  8.814  8.655 0
      11 034.7276381 +35.2182311 198.72  -36.09 23.41 26.44 19.67 40.90  0.21  0.64  8.992  8.309  8.145  8.044  8.074 0
      13 036.4101675 +37.5427578 282.75  -70.13 34.00 27.47 20.28 40.61 -0.78  0.38  9.712  9.103  8.842  8.687  8.554 0
      14 036.4481072 +24.5899417 209.66  -23.42 25.12 22.94 21.81 39.80 -0.17  0.22 11.384 10.798 10.545 10.338 10.158 0
      15 036.5412939 +12.4538656 171.35   12.82 20.56 24.57 22.28 39.54  2.54  0.28 11.392 10.774 10.527 10.343 10.156 0
      16 036.6401900 +15.3734675 164.54    4.72 19.73 24.88 22.34 39.51  1.88  0.88  8.071  7.687  7.558  7.508  7.532 0
      17 036.9107044 +17.6724147 166.54   -9.91 20.05 24.20 22.47 39.44 -0.65  0.48 10.321  9.747  9.413  9.264  9.122 0
      18 038.7634508 +41.0782800 176.56  -55.82 21.78 27.34 20.90 40.29 -0.88  0.26 11.373 10.797 10.522 10.362 10.207 0
      19 039.7381131 +35.2011558 191.61  -51.64 23.85 23.67 22.48 39.43 -0.80  0.21 11.621 11.023 10.728 10.582 10.472 0
      20 040.2896211 +39.6032200 164.28  -48.55 20.45 26.89 21.97 39.72  0.17  0.23 11.752 11.165 10.914 10.652 10.481 0
      21 040.3513506 +17.4790547 156.04   -9.21 19.46 22.17 24.69 38.09  0.07  0.59  9.665  9.043  8.843  8.639  8.563 0
      22 042.0852600 +23.8719625 184.91  -26.04 23.50 19.21 25.32 37.67  0.26  0.32 10.847 10.260  9.965  9.801  9.620 0
      23 042.2132039 +30.6436742 124.09  -38.08 16.08 29.36 24.57 38.17 -2.80  0.38 11.320 10.722 10.470 10.305 10.130 0
      24 043.1573442 -09.2323281 188.17   67.45 24.86 26.77 24.91 37.95  3.65  0.72  8.433  7.951  7.629  7.514  7.544 0
      25 043.5588067 +42.5887850 201.96  -82.13 26.37 25.09 22.91 39.18 -0.83  1.26  5.882  5.682  5.572  5.568  5.436 0
      26 044.1718950 +35.3762711 196.63  -62.94 25.75 21.63 24.81 38.01 -0.38  0.46  9.817  9.205  8.955  8.815  8.720 0
      27 044.4444692 +29.6614594 187.28  -46.88 24.58 19.23 25.95 37.24 -0.26  0.92  7.383  6.997  6.905  6.864  6.905 0
      28 044.5217592 +20.6687375 235.57  -30.09 30.89 20.20 27.05 36.45  0.02  1.45  5.308  4.815  4.778  4.706  4.402 0
      29 044.5659436 +22.4821714 123.31  -21.60 16.23 25.45 26.92 36.55 -0.81  0.27 12.062 11.437 11.144 10.946 10.802 0
      30 044.9431353 +38.9267228 227.05  -89.89 30.26 23.93 24.44 38.25 -1.10  0.31 10.411  9.779  9.517  9.298  9.119 0
      31 045.0117150 +07.7497508 327.44   19.32 43.25 26.73 27.71 35.95  0.63  0.88  6.323  5.951  5.841  5.750  5.775 0
      32 045.4513394 +37.5556306 169.72  -66.09 22.78 22.14 25.00 37.88 -1.17  0.26 11.306 10.701 10.430 10.273 10.110 0
      33 046.2829181 +27.7077450 240.34  -51.54 32.09 21.05 27.25 36.30  0.84  0.16 11.609 11.018 10.686 10.463 10.273 0
