#HIPID	ASASID	RA	DEC	plx	e_plc	pmRA	e_pmRA	pmDE	e_pmDE	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Vmag	BVmag	e_bv_arr
20719	042625+1651.2	66.60227019	16.8533651	22.21	1.06	104.6	1.06	-17.77	0.78	6.841	0.052	6.556	0.033	6.436	0.027	8.04	0.651	0.004
20741	042640+1644.8	66.66689146	16.7469664	21.73	1.23	110.81	1.25	-27.39	0.93	6.893	0.023	6.643	0.036	6.547	0.021	8.1	0.664	0.008
20577	042428+1653.2	66.11773861	16.8862263	20.81	1.03	110.32	1.28	-24.5	0.92	6.655	0.027	6.397	0.02	6.29	0.016	7.79	0.599	0.015
20567	042422+1704.7	66.09255097	17.0790194	18.69	0.84	97.01	1.07	-27.54	0.64	6.059	0.019	5.935	0.018	5.892	0.018	6.96	0.45	0.018
20484	0	65.85415961	16.77732704	20.04	0.48	104.56	0.68	-28.28	0.48	5.04	0.02	5.009	0.023	4.945	0.021	5.64	0.31	0.006
20542	0	66.02372383	17.44421156	20.21	0.4	108.16	0.6	-34.66	0.4	4.561	0.268	4.513	0.21	4.414	0.02	4.8	0.154	0.007
20899	042848+1717.1	67.20096662	17.28553738	21.51	0.86	106.53	1.0	-30.62	0.72	6.696	0.024	6.462	0.026	6.404	0.02	7.83	0.609	0.01
20661	0	66.40522314	15.94108025	21.2	0.92	104.06	1.17	-27.71	0.79	5.524	0.024	5.285	0.024	5.254	0.023	6.44	0.509	0.005
20455	0	65.73344726	17.54258445	20.96	0.58	106.56	0.81	-29.18	0.53	2.094	0.248	1.579	0.198	1.643	0.228	3.77	0.983	0.01
20978	042958+1640.4	67.49026215	16.67290919	24.5	1.33	105.41	1.51	-28.89	1.05	7.619	0.024	7.211	0.027	7.139	0.024	9.08	0.865	0.013
20935	042921+1732.7	67.33537106	17.5450121	23.21	0.68	105.49	0.79	-31.21	0.59	6.027	0.026	5.774	0.04	5.724	0.02	7.02	0.526	0.009
20916	042900+1609.5	67.24882274	16.15915397	20.65	0.79	88.76	1.04	-23.56	0.63	5.527	0.026	5.305	0.044	5.22	0.02	6.59	0.536	0.011
20648	0	66.37215595	17.92798892	21.96	0.51	107.6	0.74	-34.54	0.59	4.338	0.316	4.381	0.238	4.098	0.029	4.3	0.049	0.007
20605	042448+1552.5	66.19996737	15.874781	21.98	5.36	97.33	6.93	-30.8	5.94	8.716	0.02	8.065	0.018	7.852	0.02	11.66	1.408	0.013
20679	042548+1801.0	66.44787706	18.01735913	20.79	1.63	111.24	2.31	-35.76	1.91	7.314	0.02	6.901	0.015	6.767	0.021	8.99	0.935	0.005
20885	0	67.14346811	15.9622172	21.13	0.27	104.97	0.35	-15.14	0.21	2.142	0.23	1.754	0.19	1.644	0.218	3.84	0.952	0.004
20563	042417+1800.2	66.07029915	18.00299487	19.31	1.93	110.57	2.78	-35.23	2.16	8.154	0.018	7.636	0.023	7.524	0.018	9.99	1.05	0.011
20894	0	67.16531227	15.87094681	21.69	0.46	108.42	0.62	-26.74	0.37	2.994	0.206	2.997	0.212	2.88	0.264	3.4	0.179	0.004
20948	042930+1751.8	67.37619047	17.86324257	21.55	0.81	106.06	0.89	-32.83	0.65	6.045	0.029	5.887	0.033	5.809	0.023	6.9	0.451	0.002
