#  i                 filter             Vega_ZP               ST_ZP               AB_ZP        mag(Vega/ST)        mag(Vega/AB)
  1              Bessell_V        0.0173132626        0.0174807223        0.0174139059        0.0104511444        0.0062931948
  2              Bessell_U        0.0090142178        0.0081304336        0.0188425227       -0.1120358480        0.8005274971
  3              Bessell_B        0.0253149071        0.0146449434        0.0229282769       -0.5942216007       -0.1075123003
  4              Bessell_R        0.0204639981        0.0335600479        0.0241866300        0.5370802105        0.1814621849
  5              Bessell_I        0.0131391018        0.0415355696        0.0195485469        1.2496362331        0.4313720074
  6                2MASS_J        0.0062831780        0.0733303158        0.0143152579        2.6677604733        0.8940495232
  7                2MASS_H        0.0047010687        0.1503424412        0.0165666710        3.7622124983        1.3675966224
  8               2MASS_Ks        0.0024274895        0.2060022270        0.0131897349        4.8217863925        1.8376967678
  9                 SDSS_u        0.0007877900        0.0007835752        0.0018571586       -0.0058243884        0.9310963832
 10                 SDSS_g        0.0106655994        0.0071710883        0.0097218363       -0.4310004915       -0.1005924011
 11                 SDSS_r        0.0084559373        0.0122654955        0.0096416086        0.4038083563        0.1424693486
 12                 SDSS_i        0.0046362440        0.0120405997        0.0064343943        1.0362045902        0.3558534660
 13                 SDSS_z        0.0006693931        0.0028798668        0.0010786156        1.5842278904        0.5179635956
 14            WFPC2_F255W        0.0000206687        0.0000197300        0.0000874331       -0.0504642480        1.5659081874
 15            WFPC2_F300W        0.0001814992        0.0001859195        0.0006216445        0.0261258592        1.3366686375
 16            WFPC2_F336W        0.0001823182        0.0002041185        0.0005422902        0.1226309862        1.1835042432
 17            WFPC2_F439W        0.0007173049        0.0003890062        0.0006273154       -0.6643682204       -0.1455446168
 18            WFPC2_F450W        0.0019759128        0.0012648882        0.0018271998       -0.4842891051       -0.0849543418
 19            WFPC2_F555W        0.0032833005        0.0032355669        0.0032788736       -0.0159006134       -0.0014649044
 20            WFPC2_F606W        0.0044793811        0.0058926255        0.0049123197        0.2977270663        0.1001715273
 21            WFPC2_F814W        0.0014453580        0.0045434673        0.0021217899        1.2435299063        0.4168173148
 22           WFPC2_F850LP        0.0003194548        0.0014318847        0.0005151145        1.6287467106        0.5187360097
 23          ACS_WFC_F435W        0.0091122259        0.0051825655        0.0082976007       -0.6126991955       -0.1016798644
 24          ACS_WFC_F475W        0.0130047774        0.0089260733        0.0118837262       -0.4086061839       -0.0978757217
 25          ACS_WFC_F550M        0.0038399868        0.0040812097        0.0039276633        0.0661479512        0.0245113000
 26          ACS_WFC_F555W        0.0086801985        0.0082706203        0.0086298801       -0.0524789325       -0.0063122363
 27          ACS_WFC_F606W        0.0163318248        0.0206707071        0.0176862197        0.2558015498        0.0865007567
 28          ACS_WFC_F625W        0.0087866757        0.0135676630        0.0102124031        0.4717011314        0.1632583846
 29          ACS_WFC_F775W        0.0057039590        0.0160976613        0.0081537725        1.1264659665        0.3879554795
 30          ACS_WFC_F814W        0.0070427550        0.0225440547        0.0104041801        1.2632236136        0.4236631949
 31         ACS_WFC_F850LP        0.0024163068        0.0106208414        0.0038992991        1.6075171220        0.5195861949
 32        WFC3_UVIS_F218W        0.0001386569        0.0001090406        0.0006582670       -0.2608830840        1.6911514319
 33        WFC3_UVIS_F225W        0.0004000273        0.0003467515        0.0018465095       -0.1551782447        1.6606547007
 34        WFC3_UVIS_F275W        0.0005021666        0.0004891992        0.0019966936       -0.0284052147        1.4986590552
 35        WFC3_UVIS_F336W        0.0010614159        0.0011876963        0.0031636590        0.1220494905        1.1857602068
 36        WFC3_UVIS_F390W        0.0050425600        0.0031605602        0.0061522491       -0.5072175219        0.2159570943
 37        WFC3_UVIS_F438W        0.0043151281        0.0023421836        0.0037512366       -0.6634318845       -0.1520480911
 38        WFC3_UVIS_F475W        0.0090567065        0.0062952565        0.0082819625       -0.3948921673       -0.0970925824
 39        WFC3_UVIS_F555W        0.0092478149        0.0084983721        0.0090421326       -0.0917584571       -0.0244206315
 40        WFC3_UVIS_F606W        0.0109662157        0.0136863432        0.0118375551        0.2405766052        0.0830130741
 41        WFC3_UVIS_F775W        0.0026829904        0.0074344025        0.0038099352        1.1065673779        0.3807461711
 42        WFC3_UVIS_F814W        0.0032350725        0.0102269586        0.0047554014        1.2496562097        0.4182579278
 43       WFC3_UVIS_F850LP        0.0008161744        0.0036975310        0.0013185695        1.6403221974        0.5208001930
 44          WFC3_IR_F098M        0.0049016464        0.0266878684        0.0082217340        1.8399297688        0.5615536016
 45          WFC3_IR_F105W        0.0078127731        0.0525650621        0.0141555372        2.0697299198        0.6453028546
 46          WFC3_IR_F110W        0.0117177850        0.1046683735        0.0235852864        2.3774248792        0.7594890782
 47          WFC3_IR_F125W        0.0060411061        0.0720391035        0.0138528007        2.6911295906        0.9010528080
 48          WFC3_IR_F140W        0.0062786992        0.1094060039        0.0169200307        3.1029286968        1.0763286728
 49          WFC3_IR_F160W        0.0033447974        0.0834507067        0.0105912702        3.4926504948        1.2514455680
 50               IRAC_3.6        0.0007502621        0.4117171176        0.0097560009        6.8484647679        2.7851470338
 51               IRAC_4.5        0.0005621810        0.7640568633        0.0113013628        7.8331237066        3.2581365498
 52               IRAC_5.8        0.0001270214        0.4425161844        0.0040194202        8.8551306137        3.7507162303
 53               IRAC_8.0        0.0001970731        2.3519680667        0.0112529285       10.1920099537        4.3915952977
 54               UKIDSS_Z        0.0012884767        0.0053710395        0.0020669379        1.5499544852        0.5131272010
 55               UKIDSS_Y        0.0011228306        0.0070202108        0.0019781792        1.9900898217        0.6148785297
 56               UKIDSS_J        0.0011807654        0.0143009762        0.0027432280        2.7080051565        0.9152457226
 57               UKIDSS_H        0.0014133306        0.0438566639        0.0049119709        3.7294795426        1.3525300307
 58               UKIDSS_K        0.0006876514        0.0625658394        0.0038543568        4.8974223902        1.8714589927
 59                 CFHT_u        0.0050025040        0.0033835439        0.0070151594       -0.4245390885        0.3671252439
 60                 CFHT_g        0.0205651627        0.0147935270        0.0188976584       -0.3576510494       -0.0918103892
 61                 CFHT_r        0.0091670078        0.0137590350        0.0105676419        0.4409009342        0.1543762156
 62             CFHT_i_new        0.0067572723        0.0178693230        0.0094284346        1.0558416912        0.3616704225
 63             CFHT_i_old        0.0058477803        0.0164011753        0.0083404141        1.1197098135        0.3854914247
 64                 CFHT_z        0.0021186310        0.0089052765        0.0034008722        1.5589801917        0.5138374436
 65                WISE_W1        0.0016713682        0.7366665260        0.0194665757        6.6104970240        2.6655435910
 66                WISE_W2        0.0008870436        1.3246900523        0.0186227559        7.9354233265        3.3052475152
 67                WISE_W3        0.0002196716       12.1437386765        0.0249771441       11.8564462861        5.1394222011
 68                WISE_W4        0.0000131574        9.5652537092        0.0058211626       14.6538192524        6.6146023482
 69            Stromgren_u        0.0037917807        0.0043546708        0.0107892384        0.1502802974        1.1353689505
 70            Stromgren_v        0.0064166607        0.0031980133        0.0056813879       -0.7560720232       -0.1321365848
 71            Stromgren_b        0.0053782507        0.0033913758        0.0046714775       -0.5006628205       -0.1529669495
 72            Stromgren_y        0.0053120085        0.0052945307        0.0053263502       -0.0035782111        0.0029273911
 73                   PS_g        0.0143034922        0.0103472566        0.0131923240       -0.3515421622       -0.0878019395
 74                   PS_r        0.0139570106        0.0204329303        0.0159296062        0.4138456130        0.1435315785
 75                   PS_i        0.0111769935        0.0295771600        0.0156176528        1.0565786837        0.3632269174
 76                   PS_z        0.0066893823        0.0267837055        0.0106717632        1.5062116054        0.5071254056
 77                   PS_y        0.0026041883        0.0132282709        0.0042783673        1.7645767414        0.5390142024
